level,p,filter_threshold,solver,min_m,status,success_trials,total_trials,avg_recovered,avg_time,last_m,errors
5,0.1,60.0,greedy_l2,68768,success,1,1,1792.0,2.9638167172670364,68768,
5,0.1,60.0,hillclimb,68768,success,1,1,1792.0,0.1822156459093094,68768,
5,0.2,60.0,normal_eq,,not_found,0,1,1680.0,0.15681526064872742,100000,
5,0.2,60.0,svd,,not_found,0,1,1680.0,5.399507358670235,100000,
5,0.2,60.0,qr,,not_found,0,1,1680.0,14.268256306648254,100000,
5,0.2,60.0,huber,481,success,1,1,1792.0,0.2596063017845154,481,
5,0.2,60.0,gd_mle,,not_found,0,1,1678.0,54.24753637611866,100000,
5,0.2,60.0,ilp,481,success,1,1,1792.0,40.775277718901634,481,
5,0.2,60.0,greedy_l2,,not_found,0,1,1677.0,5.434058025479317,100000,
5,0.2,60.0,hillclimb,,not_found,0,1,1680.0,0.13830071687698364,100000,
5,0.3,60.0,normal_eq,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.3,60.0,svd,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.3,60.0,qr,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.3,60.0,huber,665,success,1,1,1792.0,0.3209410458803177,665,
5,0.3,60.0,gd_mle,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.3,60.0,ilp,665,success,1,1,1792.0,10.219700619578362,665,
5,0.3,60.0,greedy_l2,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.3,60.0,hillclimb,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.4,60.0,normal_eq,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.4,60.0,svd,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.4,60.0,qr,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.4,60.0,huber,991,success,1,1,1792.0,0.3963882178068161,991,
5,0.4,60.0,gd_mle,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.4,60.0,ilp,991,success,1,1,1792.0,42.344802394509315,991,
5,0.4,60.0,greedy_l2,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
5,0.4,60.0,hillclimb,,skipped_after_lower_p_not_found,0,1,0.0,0.0,100000,lower p=0.2 was not_found for the same level/filter/solver
